gene_name	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_log2FoldChange	Injured_C57BL_6_1_day_post_injuryvsUninjured_C57BL_6_1_day_post_injury_padj
Btbd2	0.162270168614126	1
Csnk1g2	0.0276862434914589	1
Abhd17a	-0.034388259376441	1
Mob3a	-0.129775725806085	1
Cacnb3	0.00716922543641428	1
Ccdc65	0.463118947193846	1
Fkbp11	0.509450862201901	0.624349908737272
Ddx23	0.0725752155028808	1
Pld3	0.0793946189808079	1
Grik5	0.231295499696002	1
Cd79a	-0.133411494321032	1
Rabac1	0.149964409640238	1
Etv3	-0.0119008739334942	1
Prkcsh	0.0808266660714663	1
Elavl3	0.233307685250035	1
Rab3b	0.274628848913613	1
St8sia6	-0.0242253201824115	1
Fcgrt	0.0474741438995092	1
Nosip	0.118183181450661	1
Pih1d1	0.114496669537415	1
Rps11	0.0419580680924625	1
Supt5	0.0989414578301497	1
Dll3	0.266147148686874	1
Paf1	-0.163614836832317	0.878541817837308
Timm50	-0.0626227212979354	1
Med29	-0.0944303377381501	1
Bicd1	-0.316534563584479	0.994988519006472
Ncstn	0.137261266140195	0.923658188518328
Pex19	-0.0587980000998001	1
Phyhip	-0.257138053936816	1
Crhr2	0.0718629107820117	1
Inmt	-0.405849974754664	1
Cyp4f18	-0.220580276095209	1
Impdh1	0.0973216926104464	1
Psg18	NA	NA
Dusp3	0.156900555597976	1
Prodh	-0.192581170139058	1
Ess2	0.0870147498086098	1
Slc25a1	-0.0699078441385515	1
Dgcr6	0.123339126770663	1
Ddr1	0.13047781040501	1
Ier3	0.484994929846819	0.637501629038489
Fosb	0.273318194852656	1
Klc4	-0.0560476574287336	1
Ercc1	-0.00482145986909133	1
Cyp17a1	0.00589017996152425	1
As3mt	0.0110564966141044	1
Homer3	-0.110801523537266	1
Crtc1	0.0730793290583715	1
Rnf215	0.147074325579229	1
Sec14l2	-0.103698965672098	1
Aven	-0.00296543227019457	1
Cp	-0.147584473881076	1
Crot	-0.0625846149791039	1
Rps6ka1	-0.144093818883058	1
Calb2	-0.495797360760869	1
Snrnp200	0.0154192400621787	1
Ciao1	0.0524945202232442	1
Has1	0.454405865414939	1
Taf6l	0.00906485285589946	1
Insig2	-0.0185736934204062	1
Kpna6	-0.17082912957778	1
Man1a	0.111442209102755	1
Itpkc	-0.0794969827385129	1
Coq8b	0.222981511416174	0.927454134324839
