gene_name	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_log2FoldChange	Injured_MRL_MpJ_1_week_post_injuryvsUninjured_MRL_MpJ_1_week_post_injury_padj
Ddx56	-0.0908521704698066	1
Tmed4	0.0106029174187103	1
Col26a1	-0.069449146944567	1
Bid	0.0907391742190141	1
Ralb	-0.0346358696755969	1
Ppp1cc	-0.0610882140082209	1
Dnajb11	0.00573174680728619	1
Tbccd1	-0.137220244317574	1
Clec11a	0.107035980775861	1
Zfp324	0.130908613700354	1
Gab2	0.0436924025901149	1
Coro1c	-0.00601964701524522	1
Tax1bp1	-0.0123304436687205	1
Psg17	-0.394599680119967	1
Psg19	0.10040676307262	1
Ctse	0.0807712678949652	1
Ndrg2	-0.479927774407542	0.645015284518299
Mettl17	-0.127988398325922	1
Arhgef40	-0.0684649414574219	1
Pnpla6	0.167333729959889	1
Mcoln1	0.0528438776210497	1
Arhgef18	0.237689428423722	0.634729617270423
Pkn2	-0.137544516216928	0.856652333791506
Cd33	0.0976339467081283	1
Etfb	-0.0842316027775021	1
Nkg7	0.138026836456514	1
Stxbp2	0.13352559514525	1
Pcp2	0.154942172409245	1
Sgce	0.118526214021498	1
Chn2	0.038435715743956	1
Wwox	0.0946805250548379	1
Slbp	-0.0220151140974924	1
Tyr	-0.381979830736477	1
